PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P003,D007,R003,368.7,7.3,361.4,376,
P003,D007,R004,254.4,5.3,249.1,259.7,
P003,D007,R005,172,4.4,167.6,176.4,
P003,D007,R006,93.7,3.5,90.2,97.2,
P003,D007,R007,187.5,4.6,182.9,192.1,
P003,D007,R008,429.5,9,420.5,438.5,
P003,D007,R009,152.8,4.5,148.3,157.3,
P003,D007,R010,494.7,16.6,478.1,511.3,
P003,D007,R011,189.7,7.6,182.1,197.3,
P003,D007,R012,78,2.8,75.2,80.8,
P003,D007,R013,3864.5,0,3864.5,3864.5,
P003,D008,U001,552.2,59.1,493.1,611.3,
P003,D008,U002,3312.2,59.1,3253.1,3371.3,
P003,D008,U003,3864.5,0,3864.5,3864.5,
