AgCode,PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
A004,P002,D006,R010,13.1,2.9,10.2,16,
A004,P002,D006,R011,3.3,0.9,2.4,4.2,
A004,P002,D006,R012,1.9,0.5,1.4,2.4,
A004,P002,D006,R013,100,,,,NA
A004,P002,D007,U001,11.3,1.9,9.4,13.2,
A004,P002,D007,U002,88.7,1.9,86.8,90.6,
A004,P002,D007,U003,100,,,,NA
A005,P001,D001,E001,67.5,12.6,54.9,80.1,
A005,P001,D001,E002,15.7,8.1,7.6,23.8,
A005,P001,D001,E003,,,,,S
A005,P001,D001,E004,15.2,9.7,5.5,24.9,
A005,P001,D001,E005,,,,,S
A005,P001,D001,E006,,,,,S
A005,P001,D001,E007,100,,,,NA
A005,P001,D002,Q001,12.8,7.9,4.9,20.7,
A005,P001,D002,Q002,17.3,10.1,7.2,27.4,
A005,P001,D002,Q003,10.5,6.6,3.9,17.1,
A005,P001,D002,Q004,12.2,8.3,3.9,20.5,
A005,P001,D002,Q005,18.3,8.7,9.6,27,
A005,P001,D002,Q006,11.6,8.6,3,20.2,
A005,P001,D002,Q007,6.3,6.7,-0.4,13,
A005,P001,D002,Q008,,,,,S
A005,P001,D002,Q009,,,,,S
A005,P001,D002,Q010,,,,,S
A005,P001,D002,Q011,,,,,S
A005,P001,D002,Q012,100,,,,NA
A005,P001,D003,L001,71.1,10.5,60.6,81.6,
A005,P001,D003,L002,11.8,9.3,2.5,21.1,
A005,P001,D003,L003,17.1,8,9.1,25.1,
A005,P001,D003,L004,100,,,,NA
A005,P001,D004,T001,53.4,13.6,39.8,67,
A005,P001,D004,T002,40.1,13.1,27,53.2,
A005,P001,D004,T003,6.5,6.1,0.4,12.6,
A005,P001,D004,T004,100,,,,NA
A005,P001,D005,B001,8.4,6.1,2.3,14.5,
A005,P001,D005,B002,91.6,6.1,85.5,97.7,
A005,P001,D005,B003,100,,,,NA
A005,P001,D006,R001,,,,,S
A005,P001,D006,R002,36.1,11.7,24.4,47.8,
A005,P001,D006,R003,11.4,8.5,2.9,19.9,
A005,P001,D006,R004,,,,,S
A005,P001,D006,R005,,,,,S
A005,P001,D006,R006,9.8,7.6,2.2,17.4,
A005,P001,D006,R007,6.3,4.6,1.7,10.9,
A005,P001,D006,R008,18.9,9.6,9.3,28.5,
A005,P001,D006,R009,,,,,S
A005,P001,D006,R010,6.1,5,1.1,11.1,
A005,P001,D006,R011,,,,,S
A005,P001,D006,R012,,,,,S
A005,P001,D006,R013,100,,,,NA
A005,P001,D007,U001,12.8,9.8,3,22.6,
A005,P001,D007,U002,87.2,9.8,77.4,97,
A005,P001,D007,U003,100,,,,NA
A005,P002,D001,E001,63.9,2.4,61.5,66.3,
A005,P002,D001,E002,13.5,1.3,12.2,14.8,
A005,P002,D001,E003,7.2,1.1,6.1,8.3,
A005,P002,D001,E004,22.8,2.3,20.5,25.1,
A005,P002,D001,E005,2.7,0.9,1.8,3.6,
A005,P002,D001,E006,1.3,0.5,0.8,1.8,
A005,P002,D001,E007,100,,,,NA
A005,P002,D002,Q001,13.4,1.4,12,14.8,
A005,P002,D002,Q002,16.1,1.8,14.3,17.9,
A005,P002,D002,Q003,11.9,1.6,10.3,13.5,
A005,P002,D002,Q004,10,1.4,8.6,11.4,
A005,P002,D002,Q005,20.5,2.1,18.4,22.6,
A005,P002,D002,Q006,9.2,1.4,7.8,10.6,
A005,P002,D002,Q007,7,1.1,5.9,8.1,
A005,P002,D002,Q008,1.2,0.5,0.7,1.7,
A005,P002,D002,Q009,3.3,0.7,2.6,4,
A005,P002,D002,Q010,0.2,0.2,0,0.4,
A005,P002,D002,Q011,5,1,4,6,
A005,P002,D002,Q012,100,,,,NA
A005,P002,D003,L001,82,2.1,79.9,84.1,
A005,P002,D003,L002,2.7,0.8,1.9,3.5,
A005,P002,D003,L003,12.2,1.6,10.6,13.8,
A005,P002,D003,L004,100,,,,NA
A005,P002,D004,T001,53.6,2.6,51,56.2,
A005,P002,D004,T002,35.1,2.6,32.5,37.7,
