PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P005,D003,E003,4.8,1.9,2.9,6.7,
P005,D003,E004,7.8,2.6,5.2,10.4,
P005,D003,E005,2.1,1.4,0.7,3.5,
P005,D003,E006,0.8,0.7,0.1,1.5,
P005,D003,E007,100,,,,NA
P005,D004,Q001,9.7,2.7,7,12.4,
P005,D004,Q002,35.1,4.6,30.5,39.7,
P005,D004,Q003,10.3,2.6,7.7,12.9,
P005,D004,Q004,11.2,3.2,8,14.4,
P005,D004,Q005,14.3,3.1,11.2,17.4,
P005,D004,Q006,7.8,2.6,5.2,10.4,
P005,D004,Q007,5.8,2.2,3.6,8,
P005,D004,Q008,1.1,0.7,0.4,1.8,
P005,D004,Q009,1.5,1.1,0.4,2.6,
P005,D004,Q010,,,,,S
P005,D004,Q011,2.8,2,0.8,4.8,
P005,D004,Q012,100,,,,NA
P005,D005,L001,70.6,4.1,66.5,74.7,
P005,D005,L002,7.1,2.3,4.8,9.4,
P005,D005,L003,22.1,3.4,18.7,25.5,
P005,D005,L004,100,,,,NA
P005,D006,B001,22.6,4.1,18.5,26.7,
P005,D006,B002,77.4,4.1,73.3,81.5,
P005,D006,B003,100,,,,NA
P005,D007,U001,10.7,3.5,7.2,14.2,
P005,D007,U002,89.3,3.5,85.8,92.8,
P005,D007,U003,100,,,,NA
P006,D001,G001,33.5,7.9,25.6,41.4,
P006,D001,G002,56.4,7.6,48.8,64,
P006,D001,G003,10.2,5.1,5.1,15.3,
P006,D001,G004,100,,,,NA
P006,D002,A001,24.5,10.3,14.2,34.8,
P006,D002,A002,32,9.6,22.4,41.6,
P006,D002,A003,17.7,6.6,11.1,24.3,
P006,D002,A004,10.6,4.9,5.7,15.5,
P006,D002,A005,9.1,4.3,4.8,13.4,
P006,D002,A006,6,3.6,2.4,9.6,
P006,D002,A007,100,,,,NA
P006,D003,E001,65.3,10,55.3,75.3,
P006,D003,E002,10.7,5,5.7,15.7,
P006,D003,E003,8.3,4.1,4.2,12.4,
P006,D003,E004,25.8,10.7,15.1,36.5,
P006,D003,E005,,,,,S
P006,D003,E006,,,,,S
P006,D003,E007,100,,,,NA
P006,D004,Q001,17.7,6.7,11,24.4,
P006,D004,Q002,20.1,7.2,12.9,27.3,
P006,D004,Q003,7.6,4.6,3,12.2,
P006,D004,Q004,15.2,8.9,6.3,24.1,
P006,D004,Q005,17.7,7.1,10.6,24.8,
P006,D004,Q006,4.8,4,0.8,8.8,
P006,D004,Q007,3.4,3.5,-0.1,6.9,
P006,D004,Q008,,,,,S
P006,D004,Q009,6.1,6.1,0,12.2,
P006,D004,Q010,,,,,S
P006,D004,Q011,4.5,4.1,0.4,8.6,
P006,D004,Q012,100,,,,NA
P006,D005,L001,65.3,8.5,56.8,73.8,
P006,D005,L002,7.6,4.8,2.8,12.4,
P006,D005,L003,27.1,7.7,19.4,34.8,
P006,D005,L004,100,,,,NA
P006,D006,B001,21.8,7.9,13.9,29.7,
P006,D006,B002,78.2,7.9,70.3,86.1,
P006,D006,B003,100,,,,NA
P006,D007,U001,7.6,4.8,2.8,12.4,
P006,D007,U002,92.4,4.8,87.6,97.2,
P006,D007,U003,100,,,,NA
